image_id,filename,title,google,ra,batch,errors,identifiable_yes,identifiable_no,identifiable_with_info_sidebar,identifiable_with_detective_work,identifiable_different_language,diversity_none,diversity_bipoc,diversity_noncisman,diversity_lgbq,diversity_non_christian,diversity_disability,diversity_other,diversity_ambiguous,TagID
user106_346_book_1_5.jpg2185,user106_346_book_1_5.jpg,I Have a Dream,https://www.google.com/books/edition/I_Have_a_Dream/_DU2pFM8nTgC?hl=en&gbpv=1&dq=i+had+a+dream&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,0,0,0,0,0,0,user106_346_book_1_5
user174_1189_book_2_2.jpg12016,user174_1189_book_2_2.jpg,The Day You Begin,https://www.google.com/books/edition/The_Day_You_Begin/n2lBDwAAQBAJ?hl=en&gbpv=1&dq=the+day+you+begin&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user174_1189_book_2_2
user234_4861_book_2_9.jpg3678,user234_4861_book_2_9.jpg,The Very Hungry Caterpillar,https://www.google.com/books/edition/The_Very_Hungry_Caterpillar/XP1EDQAAQBAJ?hl=en&gbpv=1&dq=the+hungry+caterpillar&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user234_4861_book_2_9
user234_4861_book_12_19.jpg3751,user234_4861_book_12_19.jpg,Big Red Barn,https://www.google.com/books/edition/Big_Red_Barn/fNydlVCw040C?hl=en&gbpv=1&dq=big+red+barn&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user234_4861_book_12_19
user276_2806_book_1_2.jpg9574,user276_2806_book_1_2.jpg,Building Vocabulary with Greek and Latin Roots: A Professional Guide to Word Knowledge and Vocabulary Development,https://www.google.com/books/edition/Building_Vocabulary_with_Greek_and_Latin/6WDdDwAAQBAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user276_2806_book_1_2
user282_4027_book_2_1.jpg17075,user282_4027_book_2_1.jpg,"Stand Up, Yumi Chung!",https://www.google.com/books/edition/Stand_Up_Yumi_Chung/YnolEAAAQBAJ?hl=en&gbpv=1&dq=stand+up+yumi+chung&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user282_4027_book_2_1
user282_4027_book_6_5.jpg15843,user282_4027_book_6_5.jpg,When Stars Are Scattered,https://www.google.com/books/edition/When_Stars_Are_Scattered/9YI5EAAAQBAJ?hl=en&gbpv=1&dq=when+stars+are+scattered&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,1,0,0,0,user282_4027_book_6_5
user327_4079_book_2_9.jpg3766,user327_4079_book_2_9.jpg,A Butterfly's Life Cycle,https://www.google.com/books/edition/A_Butterfly_s_Life_Cycle/Iy2eDwAAQBAJ?hl=en&gbpv=1&dq=butterfly%27s&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user327_4079_book_2_9
user380_416_book_9_14.jpg2621,user380_416_book_9_14.jpg,The Berenstain Bears Trick Or Treat,https://www.google.com/books/edition/The_Berenstain_Bears_Trick_Or_Treat/brvcvrqsErUC?hl=en,Emily,Batch 10,,1,0,0,0,0,0,0,0,0,0,0,0,1,user380_416_book_9_14
user380_416_book_12_17.jpg2394,user380_416_book_12_17.jpg,Turkey Trick Or Treat,https://www.google.com/books/edition/Turkey_Trick_Or_Treat/54EbrgEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user380_416_book_12_17
user411_1120_book_2_5.jpg2737,user411_1120_book_2_5.jpg,My Perspectives,https://www.google.com/books/edition/My_Perspectives/dskjjgEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user411_1120_book_2_5
user483_510_book_9_10.jpg3802,user483_510_book_9_10.jpg,Eleanor & Park,https://www.google.com/books/edition/Eleanor_Park/PwJWFNLKla4C?hl=en&gbpv=1&dq=eleanor+and+park&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user483_510_book_9_10
user516_1186_book_2_8.jpg2852,user516_1186_book_2_8.jpg,If You Take a Mouse to School,https://www.google.com/books/edition/If_You_Take_a_Mouse_to_School/-p5nEAAAQBAJ?hl=en&gbpv=1&dq=if+you+take+a+mouse+to+school&printsec=frontcover,Emily,Batch 10,,0,0,1,0,0,1,0,0,0,0,0,0,0,user516_1186_book_2_8
user590_4834_book_9_8.jpg6946,user590_4834_book_9_8.jpg,Grandma's Gift,https://www.google.com/books/edition/Grandma_s_Gift/YfNaEAAAQBAJ?hl=en&gbpv=1&dq=grandma%27s+gift&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user590_4834_book_9_8
user660_3280_book_1_3.jpg2501,user660_3280_book_1_3.jpg,Restart,https://www.google.com/books/edition/Restart/uf1rDQAAQBAJ?hl=en&gbpv=1&dq=restart&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user660_3280_book_1_3
user660_3280_book_3_5.jpg3018,user660_3280_book_3_5.jpg,Ghost Boys,https://www.google.com/books/edition/Ghost_Boys/2OkvDwAAQBAJ?hl=en&gbpv=1&dq=ghost+boys&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,0,0,0,0,0,0,user660_3280_book_3_5
user787_4055_book_1_11.jpg3655,user787_4055_book_1_11.jpg,"Living in the Environment: Principles, Connections, and Solutions",https://www.google.com/books/edition/Living_in_the_Environment_Principles_Con/QcQ8AAAAQBAJ?hl=en&gbpv=1&dq=inauthor:%22G.+Tyler+Miller%22&printsec=frontcover,Emily,Batch 10,,0,0,1,0,0,1,0,0,0,0,0,0,0,user787_4055_book_1_11
user848_3503_book_8_11.jpg4500,user848_3503_book_8_11.jpg,I Am Canada,https://www.google.com/books/edition/I_Am_Canada/SBsmDwAAQBAJ?hl=en&gbpv=0,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user848_3503_book_8_11
user920_1641_book_2_3.jpg3789,user920_1641_book_2_3.jpg,Becoming,https://www.google.com/books/edition/Becoming/hi17DwAAQBAJ?hl=en&gbpv=1&dq=becoming&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user920_1641_book_2_3
user964_4113_book_6_10.jpg5577,user964_4113_book_6_10.jpg,The Book with No Pictures,https://www.google.com/books/edition/The_Book_with_No_Pictures/UbmJDQAAQBAJ?hl=en&gbpv=1&dq=the+book+with+no+pictures&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user964_4113_book_6_10
user996_2882_book_8_8.jpg4378,user996_2882_book_8_8.jpg,Father Grumble,https://www.google.com/books/edition/Father_Grumble/mlucb6_loqIC?hl=en&gbpv=1&dq=father+grumble&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user996_2882_book_8_8
user1038_1666_book_6_14.jpg7615,user1038_1666_book_6_14.jpg,The Invisible Boy,https://www.google.com/books/edition/The_Invisible_Boy/9QVwDwAAQBAJ?hl=en&gbpv=1&dq=the+invisible+boy&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1038_1666_book_6_14
user1145_1702_book_9_13.jpg5696,user1145_1702_book_9_13.jpg,"Establishing the American Colonies
",https://www.google.com/books/edition/Establishing_the_American_Colonies/kAKqDwAAQBAJ?hl=en&gbpv=1&dq=the+american+colonies&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user1145_1702_book_9_13
user1209_4212_book_3_8.jpg4538,user1209_4212_book_3_8.jpg,"Mmm, Cookies!",https://www.google.com/books/edition/Mmm_Cookies/3KmzDAAAQBAJ?hl=en&gbpv=1&dq=mmm+cookies&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1209_4212_book_3_8
user1241_484_book_7_15.jpg3046,user1241_484_book_7_15.jpg,A Turkey for Thanksgiving,https://www.google.com/books/edition/A_Turkey_for_Thanksgiving/_N__vOy2GqAC?hl=en&gbpv=1&dq=a+turkey+for+thanksgiving&printsec=frontcover,Emily,Batch 10,,0,0,1,0,0,1,0,0,0,0,0,0,0,user1241_484_book_7_15
user1343_4270_book_1_0.jpg3872,user1343_4270_book_1_0.jpg,The Lightning Thief,https://www.google.com/books/edition/The_Lightning_Thief/MpC3_SuCss4C?hl=en&gbpv=1&dq=the+lightning+thief&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1343_4270_book_1_0
user1345_2392_book_3_10.jpg5195,user1345_2392_book_3_10.jpg,Our Class is a Family,https://www.google.com/books/edition/Our_Class_is_a_Family/ipiNzQEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,1,0,0,user1345_2392_book_3_10
user1345_2392_book_6_13.jpg4823,user1345_2392_book_6_13.jpg,The Cool Bean,https://www.google.com/books/edition/The_Cool_Bean/pQRQxQEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1345_2392_book_6_13
user1367_2412_book_1_4.jpg3633,user1367_2412_book_1_4.jpg,Howard B. Wigglebottom Learns to Listen,https://www.google.com/books/edition/Howard_B_Wigglebottom_Learns_to_Listen/kgJ5_L28UYMC?hl=en&gbpv=1&dq=howard+b+wigglebottom+learns+to+listen&printsec=frontcover,Emily,Batch 10,,0,0,1,0,0,1,0,0,0,0,0,0,0,user1367_2412_book_1_4
user1403_2427_book_1_8.jpg2722,user1403_2427_book_1_8.jpg,"The Lightning Thief
",https://www.google.com/books/edition/_/keGEvgEACAAJ?hl=en&sa=X&ved=2ahUKEwic06u8wJz7AhUhK1kFHQe-CscQre8FegUIARCBAQ,Emily,Batch 10,,0,0,0,1,0,1,0,0,0,0,0,0,0,user1403_2427_book_1_8
user1408_564_book_1_5.jpg8785,user1408_564_book_1_5.jpg,Georgie the Gingerbread Fairy,https://www.google.com/books/edition/Georgie_the_Gingerbread_Fairy/jXK8oAEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user1408_564_book_1_5
user1424_2436_book_1_4.jpg5119,user1424_2436_book_1_4.jpg,"What Do You Do with an Idea?
",https://www.google.com/books/edition/What_Do_You_Do_with_an_Idea/zpognwEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1424_2436_book_1_4
user1427_4339_book_6_5.jpg4312,user1427_4339_book_6_5.jpg,"Big Red Barn
",https://www.google.com/books/edition/Big_Red_Barn/fNydlVCw040C?hl=en&gbpv=1&dq=big+red+barn&printsec=frontcover,Emily,Batch 10,,0,0,0,1,0,1,0,0,0,0,0,0,0,user1427_4339_book_6_5
user1484_3082_book_6_9.jpg3680,user1484_3082_book_6_9.jpg,"I Survived the Attack of the Grizzlies, 1967",https://www.google.com/books/edition/I_Survived_the_Attack_of_the_Grizzlies_1/6FhFDwAAQBAJ?hl=en&gbpv=1&dq=i+survived+the+attack+of+the+grizzlies&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user1484_3082_book_6_9
user1570_1245_book_7_11.jpg3803,user1570_1245_book_7_11.jpg,My Mouth is a Volcano,https://www.google.com/books/edition/My_Mouth_is_a_Volcano/0VtVEAAAQBAJ?hl=en&gbpv=1&dq=how+much+in+a+volcano&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1570_1245_book_7_11
user1647_2479_book_10_18.jpg3012,user1647_2479_book_10_18.jpg,"Brown Bear, Brown Bear, what Do You See?",https://www.google.com/books/edition/Brown_Bear_Brown_Bear_what_Do_You_See/7S1KPwAACAAJ?hl=en,Emily,Batch 10,,0,0,0,1,0,1,0,0,0,0,0,0,0,user1647_2479_book_10_18
user1689_4868_book_1_2.jpg3592,user1689_4868_book_1_2.jpg,Enemy Pie,https://www.google.com/books/edition/Enemy_Pie_Reading_Rainbow_Book_Children/iH0n6rfDQ_wC?hl=en&gbpv=1&dq=enemy+pie&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1689_4868_book_1_2
user1715_4415_book_11_14.jpg2322,user1715_4415_book_11_14.jpg,The Adoration of Jenna Fox,https://www.google.com/books/edition/_/5aAUIK20v34C?hl=en&sa=X&ved=2ahUKEwi9qI6g0pz7AhW5FFkFHbXsAKwQre8FegQIAxA5,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1715_4415_book_11_14
user1830_2531_book_3_6.jpg7477,user1830_2531_book_3_6.jpg,New Kid,https://www.google.com/books/edition/New_Kid/q4kuywEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1830_2531_book_3_6
user1936_4909_book_1_1.jpg8896,user1936_4909_book_1_1.jpg,Holes,https://www.google.com/books/edition/Holes/U_zINMa9cAAC?hl=en&gbpv=1&dq=holes&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user1936_4909_book_1_1
user1949_4911_book_1_2.jpg6808,user1949_4911_book_1_2.jpg,Say Something!,https://www.google.com/books/edition/Say_Something/fx2FDwAAQBAJ?hl=en&gbpv=1&dq=say+something&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,1,0,0,user1949_4911_book_1_2
user2065_1965_book_8_12.jpg5072,user2065_1965_book_8_12.jpg,Frindle,https://www.google.com/books/edition/Frindle/2ORszQEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2065_1965_book_8_12
user2103_1363_book_1_3.jpg3897,user2103_1363_book_1_3.jpg,We Don't Eat Our Classmates,https://www.google.com/books/edition/We_Don_t_Eat_Our_Classmates/I6phswEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2103_1363_book_1_3
user2110_4501_book_1_6.jpg9648,user2110_4501_book_1_6.jpg,The Beginner's Bible: Timeless Children's Stories,https://www.google.com/books/edition/The_Beginner_s_Bible/m-m4jwEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2110_4501_book_1_6
user2152_2620_book_2_5.jpg12298,user2152_2620_book_2_5.jpg,Wilma Unlimited: How Wilma Rudolph Became the World's Fastest Woman,https://www.google.com/books/edition/Wilma_Unlimited/F9TVJd8luVMC?hl=en&gbpv=1&dq=wilma+unlimited&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2152_2620_book_2_5
user2156_1997_book_9_10.jpg19083,user2156_1997_book_9_10.jpg,"Pocket Full of Colors: The Magical World of Mary Blair, Disney Artist Extraordinaire",https://www.google.com/books/edition/Pocket_Full_of_Colors/r0MyDwAAQBAJ?hl=en&gbpv=1&dq=pocket+full+of+colors&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2156_1997_book_9_10
user2156_1997_book_11_12.jpg12302,user2156_1997_book_11_12.jpg,The Cat and the Bird: A Children's Book Inspired by Paul Klee,https://www.google.com/books/edition/The_Cat_and_the_Bird/fEqREAAAQBAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2156_1997_book_11_12
user2276_2006_book_7_6.jpg6191,user2276_2006_book_7_6.jpg,The Bad Seed,https://www.google.com/books/edition/The_Bad_Seed/o7hWDwAAQBAJ?hl=en&gbpv=1&dq=the+bad+seed&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2276_2006_book_7_6
user2276_2006_book_13_12.jpg3293,user2276_2006_book_13_12.jpg,I Am Peace: A Book of Mindfulness,https://www.google.com/books/edition/I_Am_Peace/H6xgDgAAQBAJ?hl=en&gbpv=1&dq=i+am+peace&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2276_2006_book_13_12
user2355_780_book_4_5.jpg2645,user2355_780_book_4_5.jpg,The Maze Runner,https://www.google.com/books/edition/The_Maze_Runner/yo5GBAAAQBAJ?hl=en&gbpv=1&dq=the+maze+runner&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2355_780_book_4_5
user2365_51_book_1_1.jpg5085,user2365_51_book_1_1.jpg,Being Jazz: My Life as a (Transgender) Teen,https://www.google.com/books/edition/Being_Jazz/NIclDwAAQBAJ?hl=en&gbpv=1&dq=being+jazz&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2365_51_book_1_1
user2381_2035_book_5_13.jpg2983,user2381_2035_book_5_13.jpg,Charlotte's Web,https://www.google.com/books/edition/Charlotte_s_Web/WwN4BgAAQBAJ?hl=en&gbpv=1&dq=charlotte%27s+web&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user2381_2035_book_5_13
user2389_62_book_1_2.jpg6868,user2389_62_book_1_2.jpg,Arthur's Halloween: An Arthur Adventure,https://www.google.com/books/edition/Arthur_s_Halloween/xw26jwEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2389_62_book_1_2
user2418_2691_book_4_4.jpg5423,user2418_2691_book_4_4.jpg,Hair Love,https://www.google.com/books/edition/Hair_Love/_6GHDwAAQBAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2418_2691_book_4_4
user2435_1447_book_1_4.jpg2114,user2435_1447_book_1_4.jpg,The Giving Tree,https://www.google.com/books/edition/The_Giving_Tree/1IleAgAAQBAJ?hl=en&gbpv=0,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2435_1447_book_1_4
user2542_2095_book_2_5.jpg6380,user2542_2095_book_2_5.jpg,Why We're Polarized,https://www.google.com/books/edition/Why_We_re_Polarized/1G6gDwAAQBAJ?hl=en&gbpv=1&dq=why+we%27re+polarized&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2542_2095_book_2_5
user2578_3960_book_2_2.jpg8140,user2578_3960_book_2_2.jpg,The Very Hungry Caterpillar,https://www.google.com/books/edition/Eric_Carle_s_Very_Little_Library_The_ver/oiMwvgAACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2578_3960_book_2_2
user2642_4639_book_4_3.jpg7844,user2642_4639_book_4_3.jpg,The Hunger Games,https://www.google.com/books/edition/The_Hunger_Games/_zSzAwAAQBAJ?hl=en&gbpv=1&dq=the+hunger+games&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2642_4639_book_4_3
user2675_4642_book_5_8.jpg9288,user2675_4642_book_5_8.jpg,Odd Dog Out,https://www.google.com/books/edition/Odd_Dog_Out/hkTywgEACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2675_4642_book_5_8
user2686_2120_book_3_5.jpg3042,user2686_2120_book_3_5.jpg,Harry Potter and the Prisoner of Azkaban,https://www.google.com/books/edition/Harry_Potter_and_the_Prisoner_of_Azkaban/Sm5AKLXKxHgC?hl=en&gbpv=0&kptab=overview,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2686_2120_book_3_5
user2790_4659_book_6_8.jpg8492,user2790_4659_book_6_8.jpg,Cabin Fever,https://www.google.com/books/edition/Cabin_Fever/BxcmMQEACAAJ?hl=en,Emily,Batch 10,,0,0,1,0,0,1,0,0,0,0,0,0,0,user2790_4659_book_6_8
user2853_3442_book_1_2.jpg3977,user2853_3442_book_1_2.jpg,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,https://www.google.com/books/edition/The_Worst_Hard_Time/np1RwDQfpjsC?hl=en&gbpv=0,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2853_3442_book_1_2
user2853_3442_book_2_3.jpg5064,user2853_3442_book_2_3.jpg,The Grapes of Wrath,https://www.google.com/books/edition/The_Grapes_of_Wrath/mjqMDQAAQBAJ?hl=en&gbpv=1&dq=the+grapes+of+wrath&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user2853_3442_book_2_3
user2885_2165_book_1_6.jpg2838,user2885_2165_book_1_6.jpg,The Day You Begin,https://www.google.com/books/edition/The_Day_You_Begin/n2lBDwAAQBAJ?hl=en&gbpv=1&dq=the+day+you+begin&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,1,1,0,0,0,0,0,user2885_2165_book_1_6
user2942_148_book_3_5.jpg6871,user2942_148_book_3_5.jpg,George Vs. George: The American Revolution as Seen from Both Sides,https://www.google.com/books/edition/George_Vs_George/jwq4EUWJKgEC?hl=en&gbpv=1&dq=george+vs+george&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2942_148_book_3_5
user2949_150_book_20_22.jpg2735,user2949_150_book_20_22.jpg,"It's Christmas, David!",https://www.google.com/books/edition/It_s_Christmas_David/C6s7DAAAQBAJ?hl=en&gbpv=1&dq=it%27s+christmas+david&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2949_150_book_20_22
user2959_948_book_8_7.jpg5937,user2959_948_book_8_7.jpg,"Stone Fox
",https://www.google.com/books/edition/Stone_Fox/0LwiuXJ4qLEC?hl=en&gbpv=1&dq=stone+fox&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user2959_948_book_8_7
user2962_952_book_2_3.jpg6867,user2962_952_book_2_3.jpg,Maisy Goes to Preschool,https://www.google.com/books/edition/Maisy_Goes_to_Preschool/oMisBAAAQBAJ?hl=en&gbpv=1&dq=maisy+goes+to+preschool&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,0,0,0,0,0,1,user2962_952_book_2_3
user84_1627_book_1_2.jpg3607,user84_1627_book_1_2.jpg,Matilda,https://www.google.com/books/edition/Matilda/EOurnQEACAAJ?hl=en&kptab=editions,Emily,Batch 23,,1,0,0,0,0,0,0,1,0,0,0,0,0,user84_1627_book_1_2
user87_2859_book_1_10.jpg3248,user87_2859_book_1_10.jpg,Because,https://www.google.com/books/edition/Because/JIvYswEACAAJ?hl=en,Emily,Batch 23,,1,0,0,0,0,0,1,1,0,0,0,0,0,user87_2859_book_1_10
user137_1734_book_1_12.jpg5016,user137_1734_book_1_12.jpg,"The Proposal
",https://www.google.com/books/edition/The_Proposal/Px1xDwAAQBAJ?hl=en&gbpv=1&dq=the+proposal&printsec=frontcover,Emily,Batch 23,,1,0,0,0,0,0,1,1,0,0,0,0,0,user137_1734_book_1_12
user137_1734_book_4_15.jpg4637,user137_1734_book_4_15.jpg,,https://www.google.com/books/edition/Stamped_Racism_Antiracism_and_You/y0TfyAEACAAJ?hl=en,Emily,Batch 23,Title required if Google link is present.,1,0,0,0,0,0,1,0,0,0,0,0,0,user137_1734_book_4_15
user158_3635_book_3_7.jpg3159,user158_3635_book_3_7.jpg,"Alphabeep: A Zipping, Zooming ABC",https://www.google.com/books/edition/Alphabeep/ye4cvgAACAAJ?hl=en,Emily,Batch 23,,1,0,0,0,0,1,0,0,0,0,0,0,0,user158_3635_book_3_7
user234_4861_book_7_14.jpg4449,user234_4861_book_7_14.jpg,"To Market, To Market",https://www.google.com/books/edition/To_Market_To_Market/0qmytqinb3oC?hl=en&gbpv=1&dq=to+market+to+market&printsec=frontcover,Emily,Batch 23,,1,0,0,0,0,0,0,1,0,0,0,0,0,user234_4861_book_7_14
user253_2020_book_4_25.jpg5194,user253_2020_book_4_25.jpg,If You Take a Mouse to School,https://www.google.com/books/edition/If_You_Take_a_Mouse_to_School/-p5nEAAAQBAJ?hl=en&gbpv=1&dq=if+you+take+a+mouse+to+school&printsec=frontcover,Emily,Batch 23,,1,0,0,0,0,1,0,0,0,0,0,0,0,user253_2020_book_4_25
